Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
1068400,15,1,Peça,,1
1071502,15,2,Metro Quadrado,,1
1101598,15,3,Metro Quadrado,,1
1092178,15,4,Metro Quadrado,,1
1068594,15,5,Metro Quadrado,,1
1115023,15,6,Metro Quadrado,,1
1084003,15,7,Metro Quadrado,,1
1080523,15,8,Metro Quadrado,,1
1084003,15,9,Metro Quadrado,,1
1088099,15,10,Metro Quadrado,,1
1089139,15,11,Metro Quadrado,,1
1092472,15,12,Metro Quadrado,,1
1048507,15,13,Metro Quadrado,,1
1062585,15,14,Metro Quadrado,,1
1075856,15,15,Metro Quadrado,,1
1125861,15,16,Metro Quadrado,,1
1061435,15,17,Metro Quadrado,,1
1061547,15,18,Metro Quadrado,,1
1120256,15,19,Metro Quadrado,,1
1062526,15,20,Metro Quadrado,,1
1061838,15,21,Metro Quadrado,,1
1097496,15,22,Metro Quadrado,,1
1130004,15,23,Metro Quadrado,,1
1062657,15,24,Metro Quadrado,,1
1081559,15,25,Metro Quadrado,,1
1097327,15,26,Metro Quadrado,,1
1093398,15,27,Metro Quadrado,,1
1061459,15,28,Metro Quadrado,,1
1064473,15,29,Metro Quadrado,,1
1062272,15,30,Metro Quadrado,,1
1116669,15,31,Metro Quadrado,,1
1059003,15,32,Metro Quadrado,,1
1128066,15,33,Metro Quadrado,,1
1062476,15,34,Metro Quadrado,,1
1075281,15,35,Metro Quadrado,,1
1085181,15,36,Metro Quadrado,,1
1058013,15,37,Metro Quadrado,,1
1059055,15,38,Metro Quadrado,,1
1081105,15,39,Metro Quadrado,,1
0,15,40,Metro Quadrado,61190230,1
1081107,15,41,Metro Quadrado,,1
1076151,15,42,Metro Quadrado,,1
1047657,15,43,Metro Quadrado,,1
1059164,15,44,Metro Quadrado,,1
1060905,15,45,Metro Quadrado,,1
1042957,15,46,Metro Quadrado,,1
1039922,15,47,Metro Quadrado,,1
1114054,15,48,Metro Quadrado,,1
1044300,15,49,Metro Quadrado,,1
