Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
1079316,22,1,Metro Quadrado ,,1
1082554,22,2,Metro Quadrado ,,1
1060099,22,3,Metro Quadrado ,,1
1064427,22,4,Metro Quadrado ,,1
1064353,22,5,Metro Quadrado ,,1
1064377,22,6,Metro Quadrado ,,1
1064493,22,7,Metro Quadrado ,,1
1120508,22,8,Metro Quadrado ,,1
1065117,22,9,Metro Quadrado ,,1
0,22,10,Metro Quadrado ,boulevard decor bk matte ,1
1064492,22,11,Metro Quadrado ,,1
1068566,22,12,Metro Quadrado ,,1
1064497,22,13,Metro Quadrado ,,1
1049332,22,14,Metro Quadrado ,,1
1123828,22,15,Metro Quadrado ,5062520,1
1119033,22,16,Metro Quadrado ,5062519,1
1122456,22,17,Metro Quadrado ,,1
1060568,22,18,Metro Quadrado ,,1
1123789,22,19,Metro Quadrado ,,1
1059876,22,20,Metro Quadrado ,,1
5062313,22,21,Metro Quadrado ,,1
5066085,22,22,Metro Quadrado ,,1
5066083,22,23,Metro Quadrado ,,1
5066084,22,24,Metro Quadrado ,,1
1092181,22,25,Metro Quadrado ,,1
