Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
1106077,21,1,Metro Quadrado ,,1
1112634,21,2,Metro Quadrado ,,1
1108234,21,3,Metro Quadrado ,,1
1108221,21,4,Metro Quadrado ,,1
1108232,21,5,Metro Quadrado ,,1
1108228,21,6,Metro Quadrado ,,1
1095018,21,7,Metro Quadrado ,,1
1109311,21,8,Metro Quadrado ,,1
1109314,21,9,Metro Quadrado ,,1
1108263,21,10,Metro Quadrado ,,1
1116694,21,11,Metro Quadrado ,,1
1116696,21,12,Metro Quadrado ,,1
1106945,21,13,Metro Quadrado ,,1
1107438,21,14,Metro Quadrado ,,1
1108256,21,15,Metro Quadrado ,,1
1108258,21,16,Metro Quadrado ,,1
