Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade
0,18,1,Metro Quadrado,F1302C502,1
1063299,18,2,Metro Quadrado,,1
1123068,18,3,Metro Quadrado,,1
1122952,18,4,Metro Quadrado,,1
1063627,18,5,Metro Quadrado,,1
1064983,18,6,Metro Quadrado,,1
1062282,18,7,Metro Quadrado,,1
1059240,18,8,Metro Quadrado,,1
1057297,18,9,Metro Quadrado,,2
1046989,18,10,Metro Quadrado,,1
1043604,18,11,Metro Quadrado,,1
1062119,18,12,Metro Quadrado,,1
1043602,18,13,Metro Quadrado,,1
1050714,18,14,Metro Quadrado,,1
1057253,18,15,Metro Quadrado,,1
