Laranjal;;;;;
Codigo;Expositor;Posicao;Unidade (Peça, M2 ou ML);Referencia;Quantidade
1095717;1;112;Metro Quadrado;27027E;1
1058564;1;113;Metro Quadrado;24615;1
1109477;1;114;Metro Quadrado;29579E;1
1125958;1;115;Metro Quadrado;ROC04CZ00041;1
1125961;1;116;Metro Quadrado;ROC04DI00021;1
1068816;1;117;Metro Quadrado;FYF049B021;4
1115672;1;118;Metro Quadrado;F26009BBR1;1
1076300;1;119;Metro Quadrado;FJJ019B011;1
1122900;1;120;Metro Quadrado;FPF019B021;1
1107578;1;121;Metro Quadrado;FZ1019B101;1
1115686;1;122;Metro Quadrado;F90009B011;1
1125992;1;123;Metro Quadrado;INC04DI0018A;1
1125993;1;124;Metro Quadrado;INC04CZ0005A;1
1107690;1;125;Metro Quadrado;96080014A;1
1078493;1;126;Metro Quadrado;96080012A;1
1115663;1;127;Metro Quadrado;INC6CZ0002A;1
1080940;1;128;Metro Quadrado;96080020A;1
1115665;1;129;Metro Quadrado;INC06CZ0003A;1
1111175;1;130;Metro Quadrado;96080016A;1
;1;131;Metro Quadrado;96080018;1
1115683;1;132;Metro Quadrado;INC08CF0002A;1
1126197;1;133;Metro Quadrado;INC08DI0036;1
1088793;1;134;Metro Quadrado;64240068A;1
1115664;1;135;Metro Quadrado;INC08CZ0002A;1
1123067;1;136;Metro Quadrado;INC08DI0037A;1
1122047;1;137;Metro Quadrado;INC08DI0014;1
1121837;1;138;Metro Quadrado;640240064A;1
;1;139;Metro Quadrado;INC08di0016;1
;1;140;Metro Quadrado;INC08di0017;1
1122410;1;141;Metro Quadrado;INC08DI0015;1
1125997;1;142;Metro Quadrado;INC04DI0016A;1
1125996;1;143;Metro Quadrado;INC04DI0014A;1
1127945;1;144;Metro Quadrado;INCSPDI0001A;1
1062201;1;145;Metro Quadrado;64240018;1
1116476;1;146;Metro Quadrado;910019;1
1078397;1;147;Metro Quadrado;910003A;1
1099454;1;148;Metro Quadrado;910020;1
;1;149;Metro Quadrado;910014;1
1098844;1;150;Metro Quadrado;910021;1
;1;151;Metro Quadrado;910012;1
1100129;1;152;Metro Quadrado;920002;1
1091664;1;153;Metro Quadrado;920024A;1
1078212;1;154;Metro Quadrado;920008A;1
1098769;1;155;Metro Quadrado;920025;1
1091662;1;156;Metro Quadrado;920021A;1
1098782;1;157;Metro Quadrado;920014;1
1108254;1;158;Metro Quadrado;920032;1
1129988;1;159;Metro Quadrado;;1
1129987;1;160;Metro Quadrado;;1
1054857;1;;;6057736A;
1062041;1;;;6059222A;
1077136;1;;;6061131A;
1082395;1;;;6061128A;
1099763;1;;;6061840A;
1113353;1;;;6060879A;
1119716;1;;;;
1124020;1;;;6060880;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
